,node_id,node_index,iteration,current_vector
  (44297, 0)	0.17695473251028804
  (44298, 0)	0.21502057613168724
  (44299, 0)	0.23662551440329216
  (45372, 0)	0.004115226337448559
  (48452, 0)	0.0030864197530864196
  (48453, 0)	0.040123456790123455
  (48454, 0)	0.0029629629629629632
  (51006, 0)	0.0030864197530864196
  (51732, 0)	0.006944444444444444
  (51733, 0)	0.020833333333333332
  (51736, 0)	0.004115226337448559
  (52203, 0)	0.0024691358024691358
  (55194, 0)	0.0030864197530864196
  (55244, 0)	0.0030864197530864196
  (55495, 0)	0.04938271604938271
  (55901, 0)	0.018518518518518517
  (59623, 0)	0.0024691358024691358
  (62183, 0)	0.012345679012345678
  (63123, 0)	0.012345679012345678"
60,5751204799,49398,1,"  (49406, 0)	0.3333333333333333"
61,5751204799,49398,2,"  (49398, 0)	0.3333333333333333
  (49411, 0)	0.1111111111111111
  (49414, 0)	0.1111111111111111"
62,5751204799,49398,3,"  (49406, 0)	0.18518518518518517
  (49409, 0)	0.037037037037037035
  (49412, 0)	0.1111111111111111
  (49921, 0)	0.1111111111111111
  (49923, 0)	0.037037037037037035"
63,5751204799,49398,4,"  (49398, 0)	0.18518518518518517
  (49405, 0)	0.012345679012345678
  (49410, 0)	0.037037037037037035
  (49411, 0)	0.1111111111111111
  (49414, 0)	0.1111111111111111
  (49922, 0)	0.037037037037037035
  (49925, 0)	0.012345679012345678"
64,5751204799,49398,5,"  (36493, 0)	0.004115226337448559
  (49396, 0)	0.004115226337448559
  (49406, 0)	0.13580246913580246
  (49408, 0)	0.004115226337448559
  (49409, 0)	0.05349794238683127
  (49412, 0)	0.1111111111111111
  (49921, 0)	0.1111111111111111
  (49923, 0)	0.053497942386831275
  (49924, 0)	0.012345679012345678"
65,5772046957,53106,1,"  (53103, 0)	0.3333333333333333
  (53105, 0)	1.0
  (53107, 0)	0.3333333333333333"
66,5772046957,53106,2,"  (37830, 0)	0.1111111111111111
  (53091, 0)	0.1111111111111111
  (53101, 0)	0.3333333333333333
  (53102, 0)	0.3333333333333333
  (53106, 0)	0.5555555555555556"
67,5772046957,53106,3,"  (37829, 0)	0.037037037037037035
  (37836, 0)	0.037037037037037035
  (52568, 0)	0.037037037037037035
  (53090, 0)	0.1111111111111111
  (53103, 0)	0.4074074074074074
  (53105, 0)	0.5555555555555556
  (53107, 0)	0.25925925925925924"
68,5772046957,53106,4,"  (33493, 0)	0.012345679012345678
  (37830, 0)	0.1111111111111111
  (37839, 0)	0.009259259259259259
  (52461, 0)	0.012345679012345678
  (52463, 0)	0.012345679012345678
  (53089, 0)	0.012345679012345678
  (53091, 0)	0.13580246913580246
  (53101, 0)	0.4074074074074074
  (53102, 0)	0.4074074074074074
  (53106, 0)	0.4074074074074074
  (60930, 0)	0.037037037037037035"
69,5772046957,53106,5,"  (32623, 0)	0.004115226337448559
  (37829, 0)	0.053497942386831275
  (37836, 0)	0.05246913580246913
  (37839, 0)	0.0030864197530864196
  (37843, 0)	0.0030864197530864196
  (37857, 0)	0.0030864197530864196
  (52460, 0)	0.004115226337448559
  (52463, 0)	0.0030864197530864196
  (52568, 0)	0.04526748971193416
  (52569, 0)	0.004115226337448559
  (52576, 0)	0.0030864197530864196
  (53079, 0)	0.004115226337448559
  (53088, 0)	0.012345679012345678
  (53090, 0)	0.13580246913580246
  (53103, 0)	0.4074074074074074
  (53105, 0)	0.4074074074074074
  (53107, 0)	0.21810699588477364
  (60933, 0)	0.004115226337448559"
70,2685435782,38184,1,"  (63398, 0)	0.3333333333333333"
71,2685435782,38184,2,"  (38184, 0)	0.3333333333333333
  (45652, 0)	0.1111111111111111
  (63399, 0)	0.3333333333333333"
72,2685435782,38184,3,"  (45650, 0)	0.037037037037037035
  (45651, 0)	0.1111111111111111
  (63398, 0)	0.25925925925925924"
73,2685435782,38184,4,"  (38146, 0)	0.009259259259259259
  (38184, 0)	0.25925925925925924
  (45649, 0)	0.037037037037037035
  (45652, 0)	0.13580246913580246
  (63399, 0)	0.25925925925925924"
74,2685435782,38184,5,"  (38135, 0)	0.0030864197530864196
  (38168, 0)	0.0030864197530864196
  (45650, 0)	0.06069958847736625
  (45651, 0)	0.13580246913580246
  (63398, 0)	0.21810699588477364
  (63401, 0)	0.0023148148148148147"
75,5811542430,55405,1,"  (55404, 0)	1.0
  (55419, 0)	0.3333333333333333
  (55445, 0)	0.3333333333333333"
76,5811542430,55405,2,"  (55401, 0)	0.1111111111111111
  (55405, 0)	0.5555555555555556
  (55418, 0)	0.1111111111111111
  (55435, 0)	0.1111111111111111
  (55436, 0)	0.1111111111111111"
77,5811542430,55405,3,"  (55400, 0)	0.1111111111111111
  (55404, 0)	0.5555555555555556
  (55411, 0)	0.037037037037037035
  (55415, 0)	0.037037037037037035
  (55419, 0)	0.25925925925925924
  (55434, 0)	0.1111111111111111
  (55437, 0)	0.037037037037037035
  (55444, 0)	0.037037037037037035
  (55445, 0)	0.25925925925925924
  (61604, 0)	0.037037037037037035
  (62174, 0)	0.037037037037037035"
78,5811542430,55405,4,"  (55401, 0)	0.13580246913580246
  (55405, 0)	0.35802469135802467
  (55407, 0)	0.012345679012345678
  (55410, 0)	0.037037037037037035
  (55413, 0)	0.024691358024691357
  (55414, 0)	0.037037037037037035
  (55417, 0)	0.012345679012345678
  (55418, 0)	0.1111111111111111
  (55435, 0)	0.13580246913580246
  (55436, 0)	0.1111111111111111
  (55446, 0)	0.024691358024691357
  (55447, 0)	0.024691358024691357
  (61603, 0)	0.037037037037037035
  (62173, 0)	0.037037037037037035"
79,5811542430,55405,5,"  (39263, 0)	0.024691358024691357
  (55400, 0)	0.13580246913580246
  (55403, 0)	0.004115226337448559
  (55404, 0)	0.35802469135802467
  (55406, 0)	0.012345679012345678
  (55409, 0)	0.004115226337448559
  (55411, 0)	0.05761316872427983
  (55412, 0)	0.024691358024691357
  (55415, 0)	0.05349794238683127
  (55416, 0)	0.012345679012345678
  (55419, 0)	0.2016460905349794
  (55434, 0)	0.13580246913580246
  (55437, 0)	0.05349794238683127
  (55444, 0)	0.05349794238683127
  (55445, 0)	0.2016460905349794
  (55472, 0)	0.008230452674897118
  (61604, 0)	0.06584362139917695
  (62174, 0)	0.06172839506172839"
80,5765004386,51778,1,"  (51779, 0)	0.3333333333333333"
81,5765004386,51778,2,"  (51778, 0)	0.3333333333333333
  (51780, 0)	0.1111111111111111
  (61439, 0)	0.1111111111111111"
82,5765004386,51778,3,"  (51632, 0)	0.037037037037037035
  (51755, 0)	0.037037037037037035
  (51779, 0)	0.18518518518518517
  (52389, 0)	0.1111111111111111
  (61438, 0)	0.1111111111111111"
83,5765004386,51778,4,"  (39079, 0)	0.012345679012345678
  (51656, 0)	0.012345679012345678
  (51754, 0)	0.018518518518518517
  (51778, 0)	0.18518518518518517
  (51780, 0)	0.1111111111111111
  (61439, 0)	0.1111111111111111
  (61440, 0)	0.037037037037037035"
84,5765004386,51778,5,"  (39078, 0)	0.004115226337448559
