id1,id2
2214329329,2214329794
2214329329,8366036270
2214329329,2214329331
2214329329,2214331313
2214329329,2214327609
2685436161,5755040568
2685436161,5755040566
2685436161,2685436137
2685436161,2685436164
2685436161,2685436166
5740290608,8348397508
5740290608,5740290618
5740290608,5740290617
5740290608,5740290534
5740290608,5740290530
5748777422,5748777418
5748777422,5748777414
5748777422,5748777454
5748777422,5748777423
5748777422,5748777429
366429477,1854295505
366429477,5755083927
366429477,9743808154
366429477,4274977896
366429477,5028986706
5740111487,5740111488
5740111487,5740111486
5740111487,7766356341
5740111487,7766356340
5740111487,5740111493
5811626269,5811626270
5811626269,3378124373
5811626269,5811613088
5811626269,5811613139
5811626269,5811613136
2156215776,2156215358
2156215776,2156215285
2156215776,2156215354
2156215776,2156215356
2156215776,366459969
4851795625,6622680051
4851795625,5038653771
4851795625,5038653725
4851795625,2500305097
4851795625,4851795641
2684988649,2684988661
2684988649,2684988690
2684988649,2684988698
2684988649,2684988681
2684988649,2684988633
11500054230,11500054229
11500054230,5800344324
11500054230,8366150581
11500054230,5800344335
11500054230,5800345564
5742791489,5742791491
5742791489,5742791486
5742791489,5742791488
5742791489,5742791483
5742791489,4865521914
2214308288,9478180013
2214308288,11409740370
2214308288,5733089807
2214308288,5733089805
2214308288,5733089803
5733292371,5733464484
5733292371,9787486780
5733292371,5733292368
5733292371,5733464544
5733292371,5733464548
5806362054,5806362059
5806362054,5806361042
5806362054,5805644377
5806362054,5802992865
5806362054,5805644381
5765066803,2684988572
5765066803,8360191546
5765066803,5765066802
5765066803,5765066800
5765066803,5765066795
5769461879,5769461118
5769461879,8813957663
5769461879,5769461884
5769461879,5769461116
5769461879,5769461878
5755239014,5755239017
5755239014,5755239122
5755239014,2214117665
5755239014,5755239013
5755239014,5755239012
8366389955,7762400410
8366389955,7762400411
8366389955,7762400413
8366389955,7762400412
8366389955,5733029098
11487052552,11487052550
11487052552,2685435796
11487052552,11487052554
11487052552,2685435702
11487052552,11487092173
5762847538,5762847535
5762847538,5757901667
5762847538,5762847541
5762847538,5762847534
5762847538,5757901668
8360271572,7737310778
8360271572,7737310779
8360271572,7737338419
8360271572,366444424
8360271572,8360271581
7762379267,5740219262
7762379267,5740219231
7762379267,5740219306
7762379267,5740219265
7762379267,8348258069
366374491,5748452725
366374491,5748452015
366374491,366469454
366374491,5748452726
366374491,5753046769
8347885067,8347892750
8347885067,8347892749
8347885067,5767223149
8347885067,5767223151
8347885067,8347892754
4197274358,366445949
4197274358,5733377629
4197274358,2495881514
4197274358,2495881538
4197274358,2495881504
11491771992,11491771993
11491771992,8366437562
11491771992,5753210771
11491771992,5751069447
11491771992,5751069450
5038426994,5038426995
5038426994,5038426999
5038426994,3095275380
5038426994,5038426996
5038426994,3095275563
5753114952,5753114976
5753114952,5753114958
5753114952,5753114954
5753114952,5753114977
5753114952,5753114826
5753027042,5753027045
5753027042,5753027044
5753027042,5753027100
5753027042,7551073417
5753027042,7551073418
5780709664,5780709665
5780709664,5780709684
5780709664,5780709661
5780709664,5780709694
5780709664,5780709678
5750512210,5750512211
5750512210,5750514826
5750512210,5750514825
5750512210,5750512215
5750512210,5750512213
366432572,2677188022
366432572,11443073420
366432572,2677188040
366432572,2677188033
366432572,8345545178
5735565929,5735565934
5735565929,11508099582
5735565929,5735565946
5735565929,8366343806
5735565929,8366343807
4786204082,4786204080
4786204082,5738255283
4786204082,4786204087
4786204082,4786204079
4786204082,5740056067
5767392836,5767392835
5767392836,12047276587
5767392836,2684986983
5767392836,7773875980
5767392836,2684986973
5748270186,5748270193
5748270186,5748270187
5748270186,5748270188
5748270186,5748270184
5748270186,5748270531
11434786746,5767266931
11434786746,5767266930
11434786746,5767267064
11434786746,366370974
11434786746,5767267065
8345116785,8345116787
8345116785,5755029140
8345116785,5755029141
8345116785,5755029142
8345116785,5755029138
5755029154,2414429348
5755029154,5755029153
5755029154,5755029151
5755029154,5755029152
5755029154,10143531908
8344831991,8344831996
8344831991,11158112303
8344831991,8344822695
8344831991,8344822696
8344831991,8344822698
9756807168,5042605319
9756807168,5042605421
9756807168,9756807169
9756807168,9756394284
9756807168,9756394283
5755396543,5755396542
5755396543,5767087693
5755396543,5767087694
5755396543,5755396556
5755396543,5767087892
5765004430,5765004471
5765004430,5765004433
5765004430,5765004525
5765004430,5765004440
5765004430,5765004438
5740277408,5740277412
5740277408,5740277407
5740277408,5740278426
5740277408,5740277415
5740277408,5738070258
366468377,2685998010
366468377,12137703596
366468377,5753376245
366468377,11041676878
366468377,4614323731
5038653679,5038653678
5038653679,5811876684
5038653679,5038653683
5038653679,5038653660
5038653679,5811328052
5750708964,5750708969
5750708964,5750708976
5750708964,5750708973
5750708964,5750708970
5750708964,5750708972
5755083928,5755083929
5755083928,5755083935
5755083928,5755083926
5755083928,366429477
5755083928,5755083930
2685436326,2685436320
2685436326,2685436360
2685436326,2685436347
2685436326,6541838486
2685436326,6541838487
2214121210,9478179978
2214121210,2214120279
2214121210,5346685054
